,County,2015TotalSales
0,Fremont,24029.55
1,Davis,96100.18
2,Adams,100596.8
3,Wayne,105438.35
4,Keokuk,110598.35
5,Taylor,138051.54
6,Ringgold,149560.78
7,Audubon,173849.23
8,Decatur,174245.69
9,Van Buren,177470.88
10,Louisa,232286.47
11,Franklin,258362.61
12,Osceola,259985.23
13,Guthrie,283132.74
14,Monroe,295504.56
15,Hancock,302289.79
16,Worth,308398.74
17,Butler,310258.88
18,Chickasaw,322593.15
19,Harrison,327370.38
20,Pocahontas,379396.07
21,Grundy,415069.06
22,Calhoun,424644.71
23,Howard,436874.08
24,Lucas,437388.82
25,Adair,488639.34
26,Mitchell,506813.03
27,Mills,519642.08
28,Clarke,528189.68
29,Shelby,546176.7
30,Cedar,546258.29
31,Sac,583368.19
32,Emmet,585056.43
33,Monona,603607.9
34,Greene,609443.42
35,Ida,624337.75
36,Wright,636894.12
37,Humboldt,648221.79
38,Montgomery,664819.29
39,Clayton,700843.6
40,Palo Alto,709388.53
41,Tama,725886.75
42,Cherokee,726635.78
43,Winnebago,742738.12
44,Lyon,766200.17
45,Madison,788410.68
46,Benton,823579.28
47,Appanoose,834932.4
48,Hamilton,835071.88
49,Allamakee,849990.46
50,Page,863222.42
51,Jones,869838.88
52,Jefferson,962278.64
53,Mahaska,968518.74
54,Delaware,1014472.96
55,Union,1064677.64
56,Iowa,1081533.17
57,Henry,1123736.43
58,O'Brien,1140150.69
59,Cass,1175133.56
60,Crawford,1207184.87
61,Buchanan,1225312.54
62,Winneshiek,1262582.6
63,Jackson,1271758.55
64,Poweshiek,1283171.29
65,Floyd,1295122.51
66,Fayette,1348933.13
67,Kossuth,1457360.83
68,Sioux,1502170.61
69,Clay,1557673.71
70,Plymouth,1570726.44
71,Washington,1671153.34
72,Bremer,1750844.13
73,Buena Vista,1766458.67
74,Jasper,1793042.0
75,Hardin,1800832.65
76,Boone,1819625.74
77,Marion,1972476.21
78,Warren,2340853.54
79,Carroll,2348390.1
80,Wapello,2744029.69
81,Dickinson,3022426.23
82,Muscatine,3023298.93
83,Clinton,3279061.93
84,Marshall,3398488.8
85,Lee,3849041.84
86,Webster,3871615.84
87,Des Moines,3966664.83
88,Dallas,5559848.14
89,Cerro Gordo,5748799.08
90,Dubuque,8551228.75
91,Story,8704893.6
92,Woodbury,10047879.98
93,Pottawattamie,10108281.28
94,Black Hawk,16040753.31
95,Johnson,17657120.71
96,Scott,20403296.62
97,Linn,24960329.74
98,Polk,63609412.3
