,County,YoYTotalSalesChange
0,Fremont,106901.0
1,Davis,97215.56
2,Adams,90393.69
3,Wayne,103995.42
4,Keokuk,91363.68
5,Taylor,84468.93
6,Ringgold,77866.59
7,Audubon,69398.34
8,Decatur,83111.41
9,Van Buren,90599.14
10,Louisa,100323.75
11,Franklin,59233.99
12,Osceola,73295.9
13,Guthrie,35436.23
14,Monroe,74579.04
15,Hancock,79203.42
16,Worth,13214.51
17,Butler,36943.05
18,Chickasaw,117552.68
19,Harrison,48741.5
20,Pocahontas,7681.29
21,Grundy,2322.1
22,Calhoun,55483.98
23,Howard,74049.44
24,Lucas,43982.55
25,Adair,6459.13
26,Mitchell,5826.11
27,Mills,68179.18
28,Clarke,-9065.79000001
29,Shelby,12842.32
30,Cedar,37298.98
31,Sac,35767.76
32,Emmet,84637.12
33,Monona,64333.29
34,Greene,45312.52
35,Ida,54808.03
36,Wright,43512.98
37,Humboldt,26024.06
38,Montgomery,8430.46999999
39,Clayton,-768.980000005
40,Palo Alto,-13939.14
41,Tama,-15482.47
42,Cherokee,-8527.74000001
43,Winnebago,25444.44
44,Lyon,2464.65999999
45,Madison,61584.95
46,Benton,85806.45
47,Appanoose,46947.09
48,Hamilton,22548.64
49,Allamakee,-21915.32
50,Page,73678.9
51,Jones,78202.39
52,Jefferson,39447.19
53,Mahaska,101223.28
54,Delaware,16910.37
55,Union,81620.38
56,Iowa,-24855.18
57,Henry,21300.52
58,O'Brien,51447.95
59,Cass,81418.28
60,Crawford,35356.2
61,Buchanan,-53353.58
62,Winneshiek,70661.96
63,Jackson,75101.29
64,Poweshiek,20097.65
65,Floyd,-15633.53
66,Fayette,-38501.29
67,Kossuth,-40221.19
68,Sioux,64229.29
69,Clay,-75069.25
70,Plymouth,-53989.3
71,Washington,-128870.71
72,Bremer,-22434.87
73,Buena Vista,-25235.6
74,Jasper,-153281.54
75,Hardin,-28430.88
76,Boone,-45470.37
77,Marion,-236008.44
78,Warren,-208373.01
79,Carroll,-35589.69
80,Wapello,-118041.74
81,Dickinson,-215054.96
82,Muscatine,107087.29
83,Clinton,-173222.91
84,Marshall,-293580.22
85,Lee,-683415.88
86,Webster,75551.36
87,Des Moines,-4462.08
88,Dallas,-988608.68
89,Cerro Gordo,-764455.19
90,Dubuque,-1593.4299992
91,Story,133769.750001
92,Woodbury,-218049.859999
93,Pottawattamie,598038.53
94,Black Hawk,196489.729998
95,Johnson,-228190.270001
96,Scott,304955.559998
97,Linn,350897.439997
98,Polk,591695.749967
