,JobTitle,CompanyName,City,CityGrouping,Salary
7,Mid-Level Data Scientist,Workbridge Associates,Chicago,Chicago,105000.0
12,Data Scientist,Workbridge Associates,Chicago,Chicago,95000.0
22,Sr. Statistician,Etech Hi Inc.,Chicago,Chicago,85000.0
49,Senior Data Scientist,Workbridge Associates,Chicago,Chicago,140000.0
51,Statistician,Etech Hi Inc.,Chicago,Chicago,71000.0
64,Data Scientist,Hirewell,Deerfield,Chicago,125000.0
85,Principal Statistical Analyst / Data Scientist,CREhire.com,Bloomingdale,Chicago,138300.0
95,Business Data Analyst,North shore Staffing Group,Chicago,Chicago,95000.0
99,Lead Data Scientist,Workbridge Associates,Chicago,Chicago,140000.0
107,QUANTITATIVE MODEL VALIDATION ANALYST,Seeking Alpha Search International,Chicago,Chicago,155000.0
109,"Senior Data Scientist (Python, R) in Des Plaines",Workbridge Associates,Des Plaines,Chicago,120000.0
110,Natural Language Processing Scientist,Workbridge Associates,Chicago,Chicago,145000.0
111,Machine Learning Data Scientist,All-In Analytics,Chicago,Chicago,132500.0
145,(Sr.) Statistical Consultant,Smith Hanley Associates,Chicago,Chicago,175000.0
156,"Quantitative Researcher, Machine Learning & Bayesian inferen...",NJF Search,Chicago,Chicago,200000.0
185,Data Scientist,Smith Hanley Associates,Chicago,Chicago,90000.0
199,"Manager of Data Science (Python, R)",Workbridge Associates,Chicago,Chicago,185000.0
200,Lead Data Scientist,Analytic Recruiting,Chicago,Chicago,140000.0
250,Senior SAS Analytics Platform Lead,Workbridge Associates,Chicago,Chicago,135000.0
290,Senior Data Scientist (Deep Learning or NLP),Workbridge Associates,Chicago,Chicago,130000.0
295,Principal Data Scientist,Workbridge Associates,Chicago,Chicago,165000.0
318,Data Scientist,Jobspring Partners,Chicago,Chicago,110000.0
327,Data Scientist -Fitness/Wellness Firm,Hirewell,Chicago,Chicago,120000.0
339,Predictive Modeling Director,Analytic Recruiting,Chicago,Chicago,120000.0
341,Statistical Analyst,Smith Hanley Associates,Chicago,Chicago,55000.0
371,Director of Data Analytics,Workbridge Associates,Chicago,Chicago,170000.0
