,Title,Year,Runtime,Genre,Director,Writer,Actor,MPAARating,Description,numUserRatings,numCriticRatings,numIMDBRatings,IMDBRating
0,The Shawshank Redemption,1994,142 min,Crime,Frank Darabont,"Stephen King (short story ""Rita Hayworth and Shawshank Redemption"")",Tim Robbins,Rated R for language and prison violence,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","4,120",198,"1,679,862",9.3
1,The Godfather,1972,175 min,Crime,Francis Ford Coppola,Mario Puzo (screenplay),Marlon Brando,R,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"2,224",207,"1,149,324",9.2
2,The Godfather: Part II,1974,202 min,Crime,Francis Ford Coppola,Francis Ford Coppola (screenplay),Al Pacino,R,"The early life and career of Vito Corleone in 1920s New York is portrayed while his son, Michael, expands and tightens his grip on his crime syndicate stretching from Lake Tahoe, Nevada to pre-revolution 1958 Cuba.",652,149,"786,009",9.0
3,The Dark Knight,2008,152 min,Action,Christopher Nolan,Jonathan Nolan (screenplay),Christian Bale,Rated PG-13 for intense sequences of violence and some menace,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the caped crusader must come to terms with one of the greatest psychological tests of his ability to fight injustice.","4,646",644,"1,664,897",9.0
4,Schindler's List,1993,195 min,Biography,Steven Spielberg,Thomas Keneally (book),Liam Neeson,"Rated R for language, some sexuality and actuality violence","In Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","1,266",174,"859,751",8.9
5,12 Angry Men,1957,96 min,Crime,Sidney Lumet,Reginald Rose (story),Henry Fonda,Not Rated,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,883,177,"444,465",8.9
6,Pulp Fiction,1994,154 min,Crime,Quentin Tarantino,Quentin Tarantino (story),John Travolta,"Rated R for strong graphic violence and drug use, pervasive strong language and some sexuality","The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","2,191",220,"1,316,678",8.9
7,The Lord of the Rings: The Return of the King,2003,201 min,Action,Peter Jackson,J.R.R. Tolkien (novel),Elijah Wood,Rated PG-13 for intense epic battle sequences and frightening images,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"3,185",328,"1,208,705",8.9
8,"The Good, the Bad and the Ugly",1966,161 min,Western,Sergio Leone,Luciano Vincenzoni (story),Clint Eastwood,Not Rated,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,776,180,"500,543",8.9
9,Fight Club,1999,139 min,Drama,David Fincher,Chuck Palahniuk (novel),Brad Pitt,"Rated R for disturbing and graphic depiction of violent anti-social behavior, sexuality and language","An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soap maker, forming an underground fight club that evolves into something much, much more...","2,962",315,"1,338,813",8.8
10,The Lord of the Rings: The Fellowship of the Ring,2001,178 min,Action,Peter Jackson,J.R.R. Tolkien (novel),Elijah Wood,Rated PG-13 for epic battle sequences and some scary images,A meek Hobbit and eight companions set out on a journey to destroy the One Ring and the Dark Lord Sauron.,"5,057",297,"1,231,936",8.8
11,Star Wars: Episode V - The Empire Strikes Back,1980,124 min,Action,Irvin Kershner,Leigh Brackett (screenplay),Mark Hamill,Rated PG for sci-fi action violence,"After the rebels have been brutally overpowered by the Empire on their newly established base, Luke Skywalker takes advanced Jedi training with Master Yoda, while his friends are pursued by Darth Vader as part of his plan to capture Luke.",896,223,"832,291",8.8
12,Forrest Gump,1994,142 min,Drama,Robert Zemeckis,Winston Groom (novel),Tom Hanks,"Rated PG-13 for drug content, some sensuality and war violence","Forrest Gump, while not intelligent, has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him.","1,389",147,"1,242,416",8.8
13,Inception,2010,148 min,Action,Christopher Nolan,Christopher Nolan,Leonardo DiCaprio,Rated PG-13 for sequences of violence and action throughout,"A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.","2,799",636,"1,458,389",8.8
14,The Lord of the Rings: The Two Towers,2002,179 min,Action,Peter Jackson,J.R.R. Tolkien (novel),Elijah Wood,Rated PG-13 for epic battle sequences and scary images,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","2,416",294,"1,094,002",8.7
15,One Flew Over the Cuckoo's Nest,1975,133 min,Drama,Milos Forman,Lawrence Hauben (screenplay),Jack Nicholson,R,A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.,758,149,"676,171",8.7
16,Goodfellas,1990,146 min,Biography,Martin Scorsese,Nicholas Pileggi (book),Robert De Niro,R,Henry Hill and his friends work their way up through the mob hierarchy.,985,192,"724,230",8.7
17,The Matrix,1999,136 min,Action,Lana Wachowski,Lilly Wachowski (as The Wachowski Brothers),Keanu Reeves,Rated R for sci-fi violence and brief language,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,"3,643",310,"1,210,590",8.7
18,Seven Samurai,1954,207 min,Action,Akira Kurosawa,Akira Kurosawa (screenplay),Toshirô Mifune,Unrated,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,596,153,"227,831",8.7
19,Star Wars: Episode IV - A New Hope,1977,121 min,Action,George Lucas,George Lucas,Mark Hamill,Rated PG for sci-fi violence and brief mild language,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station, while also attempting to rescue Princess Leia from the evil Darth Vader.","1,467",282,"905,644",8.7
20,City of God,2002,130 min,Crime,Fernando Meirelles,Paulo Lins (novel),Alexandre Rodrigues,"Rated R for strong brutal violence, sexuality, drug content and language","Two boys growing up in a violent neighborhood of Rio de Janeiro take different paths: one becomes a photographer, the other a drug dealer.",746,214,"530,350",8.7
21,Se7en,1995,127 min,Crime,David Fincher,Andrew Kevin Walker,Morgan Freeman,"Rated R for grisly afterviews of horrific and bizarre killings, and for strong language","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi.","1,083",215,"1,017,005",8.6
22,The Silence of the Lambs,1991,118 min,Crime,Jonathan Demme,Thomas Harris (novel),Jodie Foster,R,A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.,915,185,"881,571",8.6
