Date,Open,High,Low,Close,Volume
29-Jul-16,104.19,104.55,103.68,104.21,27733688
28-Jul-16,102.83,104.45,102.82,104.34,39869839
27-Jul-16,104.26,104.35,102.75,102.95,92344820
26-Jul-16,96.82,97.97,96.42,96.67,56239822
25-Jul-16,98.25,98.84,96.92,97.34,40382921
22-Jul-16,99.26,99.30,98.31,98.66,28313669
21-Jul-16,99.83,101.00,99.13,99.43,32702028
20-Jul-16,100.00,100.46,99.74,99.96,26275968
19-Jul-16,99.56,100.00,99.34,99.87,23779924
18-Jul-16,98.70,100.13,98.60,99.83,36493867
15-Jul-16,98.92,99.30,98.50,98.78,30136990
14-Jul-16,97.39,98.99,97.32,98.79,38918997
13-Jul-16,97.41,97.67,96.84,96.87,25892171
12-Jul-16,97.17,97.70,97.12,97.42,24167463
11-Jul-16,96.75,97.65,96.73,96.98,23794945
8-Jul-16,96.49,96.89,96.05,96.68,28912103
7-Jul-16,95.70,96.50,95.62,95.94,25139558
6-Jul-16,94.60,95.66,94.37,95.53,30949090
5-Jul-16,95.39,95.40,94.46,94.99,27705210
1-Jul-16,95.49,96.46,95.33,95.89,26026540
30-Jun-16,94.44,95.77,94.30,95.60,35836356
29-Jun-16,93.97,94.55,93.63,94.40,36531006
28-Jun-16,92.90,93.66,92.14,93.59,40444914
27-Jun-16,93.00,93.05,91.50,92.04,46622188
24-Jun-16,92.91,94.66,92.65,93.40,75311356
23-Jun-16,95.94,96.29,95.25,96.10,32240187
22-Jun-16,96.25,96.89,95.35,95.55,29219122
21-Jun-16,94.94,96.35,94.68,95.91,35546358
20-Jun-16,96.00,96.57,95.03,95.10,34411901
17-Jun-16,96.62,96.65,95.30,95.33,61008219
16-Jun-16,96.45,97.75,96.07,97.55,31326815
15-Jun-16,97.82,98.41,97.03,97.14,29445227
14-Jun-16,97.32,98.48,96.75,97.46,31931944
13-Jun-16,98.69,99.12,97.10,97.34,38020494
10-Jun-16,98.53,99.35,98.48,98.83,31712936
9-Jun-16,98.50,99.99,98.46,99.65,26601354
8-Jun-16,99.02,99.56,98.68,98.94,20848131
7-Jun-16,99.25,99.87,98.96,99.03,22409450
6-Jun-16,97.99,101.89,97.55,98.63,23292504
3-Jun-16,97.79,98.27,97.45,97.92,28504888
2-Jun-16,97.60,97.84,96.63,97.72,40191600
1-Jun-16,99.02,99.54,98.33,98.46,29173285
31-May-16,99.60,100.40,98.82,99.86,42307212
27-May-16,99.44,100.47,99.24,100.35,36229530
26-May-16,99.68,100.73,98.64,100.41,56093437
25-May-16,98.67,99.74,98.11,99.62,38168760
24-May-16,97.22,98.09,96.84,97.90,35036561
23-May-16,95.87,97.19,95.67,96.43,37860535
20-May-16,94.64,95.43,94.52,95.22,31804564
19-May-16,94.64,94.64,93.57,94.20,29693945
18-May-16,94.16,95.21,93.89,94.56,41923114
17-May-16,94.55,94.70,93.01,93.49,46507449
16-May-16,92.39,94.39,91.65,93.88,61140610
13-May-16,90.00,91.67,90.00,90.52,44188153
12-May-16,92.72,92.78,89.47,90.34,76109795
11-May-16,93.48,93.57,92.46,92.51,28539912
10-May-16,93.33,93.57,92.11,93.42,33592465
9-May-16,93.00,93.77,92.59,92.79,32855251
6-May-16,93.37,93.45,91.85,92.72,43458189
5-May-16,94.00,94.07,92.68,93.24,35763138
4-May-16,95.20,95.90,93.82,94.19,40824776
3-May-16,94.20,95.74,93.68,95.18,56533960
2-May-16,93.96,94.08,92.40,93.64,47736879
29-Apr-16,93.99,94.72,92.51,93.74,68334434
28-Apr-16,97.61,97.88,94.25,94.83,81990674
27-Apr-16,96.00,98.71,95.68,97.82,113538389
26-Apr-16,103.91,105.30,103.91,104.35,40338403
25-Apr-16,105.00,105.65,104.51,105.08,27950966
22-Apr-16,105.01,106.48,104.62,105.68,33477142
21-Apr-16,106.93,106.93,105.52,105.97,31356434
20-Apr-16,106.64,108.09,106.06,107.13,28666865
19-Apr-16,107.88,108.00,106.23,106.91,32292344
18-Apr-16,108.89,108.95,106.94,107.48,60834027
15-Apr-16,112.11,112.30,109.73,109.85,46418482
14-Apr-16,111.62,112.39,111.33,112.10,25337435
13-Apr-16,110.80,112.34,110.80,112.04,32691799
12-Apr-16,109.34,110.50,108.66,110.44,26812000
11-Apr-16,108.97,110.61,108.83,109.02,28313525
8-Apr-16,108.91,109.77,108.17,108.66,23514462
7-Apr-16,109.95,110.42,108.12,108.54,30881022
6-Apr-16,110.23,110.98,109.20,110.96,26047772
5-Apr-16,109.51,110.73,109.42,109.81,26495312
4-Apr-16,110.42,112.19,110.27,111.12,37243224
1-Apr-16,108.78,110.00,108.20,109.99,25626163
31-Mar-16,109.72,109.90,108.88,108.99,25685672
30-Mar-16,108.65,110.42,108.60,109.56,45159861
29-Mar-16,104.89,107.79,104.88,107.68,30774115
28-Mar-16,106.00,106.19,105.06,105.19,19303557
24-Mar-16,105.47,106.25,104.89,105.67,25480914
23-Mar-16,106.48,107.07,105.90,106.13,25452612
22-Mar-16,105.25,107.29,105.21,106.72,32232567
21-Mar-16,105.93,107.65,105.14,105.91,35180796
18-Mar-16,106.34,106.50,105.19,105.92,43402289
17-Mar-16,105.52,106.47,104.96,105.80,34244593
16-Mar-16,104.61,106.31,104.59,105.97,37893758
15-Mar-16,103.96,105.18,103.85,104.58,40067734
14-Mar-16,101.91,102.91,101.78,102.52,25027426
11-Mar-16,102.24,102.28,101.50,102.26,27200833
10-Mar-16,101.41,102.24,100.15,101.17,33513577
9-Mar-16,101.31,101.58,100.27,101.12,27130729
8-Mar-16,100.78,101.76,100.40,101.03,31274161
7-Mar-16,102.39,102.83,100.96,101.87,35828909
4-Mar-16,102.37,103.75,101.37,103.01,45936485
3-Mar-16,100.58,101.71,100.45,101.50,36792245
2-Mar-16,100.51,100.89,99.64,100.75,33084941
1-Mar-16,97.65,100.77,97.42,100.53,50153943
29-Feb-16,96.86,98.23,96.65,96.69,34876558
26-Feb-16,97.20,98.02,96.58,96.91,28913208
25-Feb-16,96.05,96.76,95.25,96.76,27393905
24-Feb-16,93.98,96.38,93.32,96.10,36155642
23-Feb-16,96.40,96.50,94.55,94.69,31686699
22-Feb-16,96.31,96.90,95.92,96.88,34048195
19-Feb-16,96.00,96.76,95.80,96.04,34485576
18-Feb-16,98.84,98.89,96.09,96.26,38494442
17-Feb-16,96.67,98.21,96.15,98.12,44390173
16-Feb-16,95.02,96.85,94.61,96.64,47490678
12-Feb-16,94.19,94.50,93.01,93.99,40121670
